Horas_Estudio,Asistencia,Involucramiento_Padres,Nivel_Recursos,Actividades_Extracurriculares,Horas_Suenio,Notas_Previas,Nivel_Motivacion,Acceso_Internet,Clases_con_Tutor,Ingresos_Familiares,Calidad_Docente,Tipo_Escuela,Influencia_de_Pares,Actividad_Fisica,Dificultades_Aprendizaje,Nivel_Educacion_Padres,Distancia_Escuela,Sexo,Nota_Examen
23,84,Bajo,Alto,No,7,73,Bajo,Si,0,Bajo,Medio,Publico,Positivo,3,No,Secundario,Cerca,Masculino,67
19,64,Bajo,Medio,No,8,59,Bajo,Si,2,Medio,Medio,Publico,Negativo,4,No,Universitario,Medio,Femenino,61
24,98,Medio,Medio,Si,7,91,Medio,Si,2,Medio,Medio,Publico,Neutral,4,No,Posgrado,Cerca,Masculino,74
29,89,Bajo,Medio,Si,8,98,Medio,Si,1,Medio,Medio,Publico,Negativo,4,No,Secundario,Medio,Masculino,71
19,92,Medio,Medio,Si,6,65,Medio,Si,3,Medio,Alto,Publico,Neutral,4,No,Universitario,Cerca,Femenino,70
19,88,Medio,Medio,Si,8,89,Medio,Si,3,Medio,Medio,Publico,Positivo,3,No,Posgrado,Cerca,Masculino,71
29,84,Medio,Bajo,Si,7,68,Bajo,Si,1,Bajo,Medio,Private,Neutral,2,No,Secundario,Medio,Masculino,67
25,78,Bajo,Alto,Si,6,50,Medio,Si,1,Alto,Alto,Publico,Negativo,2,No,Secundario,Lejos,Masculino,66
17,94,Medio,Alto,No,6,80,Alto,Si,0,Medio,Bajo,Private,Neutral,1,No,Universitario,Cerca,Masculino,69
23,98,Medio,Medio,Si,8,71,Medio,Si,0,Alto,Alto,Publico,Positivo,5,No,Secundario,Medio,Masculino,72
17,80,Bajo,Alto,No,8,88,Medio,No,4,Medio,Alto,Private,Neutral,4,No,Universitario,Medio,Masculino,68
17,97,Medio,Alto,Si,6,87,Bajo,Si,2,Bajo,Alto,Private,Neutral,2,No,Secundario,Cerca,Masculino,71
21,83,Medio,Medio,Si,8,97,Bajo,Si,2,Medio,Medio,Publico,Positivo,4,No,Secundario,Cerca,Masculino,70
9,82,Medio,Medio,Si,8,72,Medio,Si,2,Medio,Medio,Private,Positivo,3,No,Posgrado,Cerca,Masculino,66
10,78,Medio,Alto,Si,8,74,Medio,Si,1,Bajo,Medio,Private,Neutral,4,No,Posgrado,Cerca,Masculino,65
17,68,Medio,Medio,No,8,70,Medio,Si,2,Medio,Medio,Private,Positivo,4,No,Secundario,Cerca,Femenino,64
14,60,Medio,Bajo,Si,10,65,Bajo,Si,0,Alto,Medio,Private,Positivo,3,No,Universitario,Cerca,Masculino,60
22,70,Bajo,Medio,Si,6,82,Medio,Si,1,Bajo,Alto,Publico,Neutral,3,No,Secundario,Cerca,Femenino,65
15,80,Medio,Medio,Si,9,91,Bajo,Si,3,Bajo,Medio,Publico,Positivo,2,No,Universitario,Medio,Femenino,67
12,75,Medio,Alto,Si,7,58,Medio,Si,3,Medio,Medio,Private,Positivo,4,No,Universitario,Cerca,Masculino,66
29,78,Medio,Medio,No,5,99,Alto,Si,0,Alto,Medio,Publico,Negativo,1,No,Secundario,Medio,Femenino,69
19,99,Medio,Alto,No,6,84,Medio,Si,1,Medio,Alto,Publico,Neutral,3,No,Secundario,Cerca,Masculino,72
20,74,Medio,Alto,No,8,89,Bajo,Si,1,Medio,Medio,Publico,Negativo,2,No,Universitario,Medio,Femenino,66
11,78,Alto,Medio,Si,8,100,Alto,Si,1,Bajo,Medio,Publico,Neutral,3,No,Secundario,Medio,Masculino,66
17,65,Bajo,Alto,Si,5,75,Medio,Si,2,Bajo,Medio,Publico,Positivo,3,No,Secundario,Cerca,Femenino,63
21,62,Alto,Bajo,Si,6,54,Alto,Si,0,Alto,Alto,Publico,Positivo,3,No,Posgrado,Lejos,Masculino,64
13,91,Bajo,Medio,No,6,90,Medio,Si,1,Alto,Medio,Publico,Negativo,2,Si,Secundario,Medio,Femenino,65
22,83,Alto,Alto,Si,6,94,Medio,Si,0,Alto,Medio,Publico,Neutral,2,No,Universitario,Medio,Masculino,71
